IP,Port,Country,Organization
131.186.25.47,443,KR,SK Broadband Co Ltd
130.162.130.105,443,KR,Korea Telecom
129.154.201.131,443,KR,Korea Telecom
130.162.135.1,443,KR,Korea Telecom
129.154.222.63,8443,KR,Korea Telecom
64.110.74.206,443,KR,Korea Telecom
64.110.75.81,443,KR,Korea Telecom
132.226.237.61,443,KR,Korea Telecom
152.70.39.39,443,KR,SK Broadband Co Ltd
152.70.91.234,443,KR,SK Broadband Co Ltd
152.70.93.86,8443,KR,SK Broadband Co Ltd
152.70.239.74,443,KR,SK Broadband Co Ltd
146.56.45.222,443,KR,SK Broadband Co Ltd
140.238.6.153,443,KR,Korea Telecom
140.238.8.100,8443,KR,Korea Telecom
152.70.253.84,8443,KR,Korea Telecom
161.118.159.185,443,KR,Korea Telecom
146.56.159.235,443,KR,KT
146.56.167.171,443,KR,KT
193.122.101.189,443,KR,KT
193.122.108.223,443,KR,SK Broadband Co Ltd
217.142.136.77,443,KR,SK Broadband Co Ltd
134.185.104.167,443,KR,Korea Telecom
144.24.90.107,443,KR,Korea Telecom
144.24.71.78,8443,KR,Korea Telecom
144.24.92.117,8443,KR,Korea Telecom
158.179.193.81,8443,KR,Korea Telecom
158.179.193.100,443,KR,Korea Telecom
152.69.227.72,8443,KR,Korea Telecom
168.107.29.97,8443,KR,KT
168.107.45.242,443,KR,KT
