IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
144.202.123.173,443,true,LAX,北美洲,美国洛杉矶,0 ms,97366 kB/s
149.28.80.8,10443,true,LAX,北美洲,美国洛杉矶,1 ms,95629 kB/s
192.9.133.106,443,true,SJC,北美洲,美国圣何塞,11 ms,92077 kB/s
129.146.250.189,50008,true,LAX,北美洲,美国洛杉矶,10 ms,92015 kB/s
44.36.18.100,2087,true,LAX,北美洲,美国洛杉矶,1 ms,91301 kB/s
172.235.54.221,443,true,LAX,北美洲,美国洛杉矶,1 ms,90841 kB/s
172.233.131.73,443,true,LAX,北美洲,美国洛杉矶,2 ms,90347 kB/s
104.207.155.167,443,true,LAX,北美洲,美国洛杉矶,1 ms,90131 kB/s
45.77.0.210,2025,true,SJC,北美洲,美国圣何塞,13 ms,90086 kB/s
44.36.18.100,2096,true,LAX,北美洲,美国洛杉矶,2 ms,89194 kB/s
149.28.92.56,443,true,LAX,北美洲,美国洛杉矶,1 ms,88184 kB/s
66.112.215.118,443,true,LAX,北美洲,美国洛杉矶,1 ms,87707 kB/s
45.32.75.42,443,true,LAX,北美洲,美国洛杉矶,0 ms,87295 kB/s
104.194.86.60,587,true,LAX,北美洲,美国洛杉矶,0 ms,87268 kB/s
45.77.0.161,9443,true,SJC,北美洲,美国圣何塞,12 ms,86274 kB/s
129.153.74.179,443,true,LAX,北美洲,美国洛杉矶,13 ms,86005 kB/s
44.36.18.100,2053,true,LAX,北美洲,美国洛杉矶,1 ms,85500 kB/s
65.49.193.13,55555,true,LAX,北美洲,美国洛杉矶,3 ms,84612 kB/s
165.1.75.146,443,true,SJC,北美洲,美国圣何塞,10 ms,84543 kB/s
129.146.75.174,50008,true,LAX,北美洲,美国洛杉矶,10 ms,83802 kB/s
144.34.230.153,9003,true,LAX,北美洲,美国洛杉矶,1 ms,83543 kB/s
44.36.18.100,443,true,LAX,北美洲,美国洛杉矶,2 ms,83482 kB/s
107.182.18.145,1028,true,LAX,北美洲,美国洛杉矶,1 ms,83387 kB/s
98.142.142.179,587,true,LAX,北美洲,美国洛杉矶,1 ms,82961 kB/s
144.34.228.184,20029,true,LAX,北美洲,美国洛杉矶,0 ms,81114 kB/s
